2020/10/5,2330,30:01.1,1,5,4,0,0,450,26,444,4,422.5,1,420.5,1,420,22,418.5,1,450,4,456,1,468.5,1,476,2,0,0
2020/10/5,2330,30:06.1,1,5,5,0,0,445.5,177,445.5,77,444,4,433,1,431,1,430,1,448.5,2,449,2,450,20,452.5,1,453,5
2020/10/5,2330,30:11.1,1,5,5,0,0,442,345,433,5,431,1,430.5,1,430,27,429,1,442,1,442.5,2,443,6,443.5,1,444,2
2020/10/5,2330,30:16.1,1,5,5,0,0,440,378,433,7,432.5,1,432,1,431,1,430.5,1,440,25,440.5,1,441,15,441.5,2,442,4
2020/10/5,2330,30:21.1,1,5,5,0,0,437,394,433,9,432.5,1,432,1,431,1,430.5,3,437,11,437.5,3,438,9,438.5,5,439,11
2020/10/5,2330,30:26.1,1,5,5,0,0,436.5,493,435,1,433.5,1,433,11,432.5,1,432,1,436.5,64,437,17,437.5,4,438,12,438.5,7
2020/10/5,2330,30:31.1,1,5,5,0,0,436.5,542,435,1,433.5,1,433,14,432.5,1,432,1,436.5,69,437,22,437.5,5,438,26,438.5,9
2020/10/5,2330,30:36.2,1,5,5,0,0,435,544,433.5,1,433,17,432.5,1,432,1,431.5,1,435,18,435.5,5,436,15,436.5,102,437,25
2020/10/5,2330,30:41.2,1,5,5,0,0,436.5,672,435,1,433.5,1,433,17,432.5,1,432,1,436.5,25,437,25,437.5,7,438,34,438.5,12
2020/10/5,2330,30:46.2,1,5,5,0,0,436.5,672,435,1,433.5,1,433,18,432.5,1,432,1,436.5,75,437,26,437.5,7,438,35,438.5,12
2020/10/5,2330,30:51.2,1,5,5,0,0,436.5,677,435,1,433.5,2,433,18,432.5,1,432,1,436.5,82,437,26,437.5,8,438,36,438.5,12
2020/10/5,2330,30:56.2,1,5,5,0,0,436.5,677,435,1,433.5,2,433,18,432.5,1,432,1,436.5,99,437,30,437.5,8,438,37,438.5,12
2020/10/5,2330,31:01.2,1,5,5,0,0,436,677,435,1,433.5,2,433,18,432.5,1,432,2,436,20,436.5,105,437,31,437.5,8,438,38
2020/10/5,2330,31:06.2,1,5,5,0,0,436,711,435,1,433.5,2,433,21,432.5,1,432,2,436,11,436.5,105,437,31,437.5,8,438,38
2020/10/5,2330,31:11.3,1,5,5,0,0,435.5,711,435,1,433.5,2,433,21,432.5,1,432,2,435.5,3,436,25,436.5,105,437,32,437.5,8
2020/10/5,2330,31:16.3,1,5,5,0,0,428,856,428,161,427.5,3,427,20,426.5,5,426,14,429,24,430,10,430.5,2,431,9,431.5,1
2020/10/5,2330,31:21.3,1,5,5,0,0,428,895,428,147,427.5,3,427,20,426.5,5,426,16,429,24,430,11,430.5,2,431,11,431.5,1
2020/10/5,2330,31:26.3,1,5,5,0,0,428,908,428,141,427.5,3,427,20,426.5,8,426,17,429,24,430,11,430.5,2,431,11,431.5,1
2020/10/5,2330,31:31.3,1,5,5,0,0,428,911,428,145,427.5,3,427,20,426.5,8,426,17,429,24,430,11,430.5,3,431,11,431.5,1
2020/10/5,2330,31:36.3,1,5,5,0,0,428,922,428,159,427.5,3,427,20,426.5,8,426,18,429,24,430,11,430.5,3,431,11,431.5,1
2020/10/5,2330,31:41.3,1,5,5,0,0,428,925,428,163,427.5,4,427,21,426.5,8,426,18,429,24,430,24,430.5,3,431,12,431.5,1
2020/10/5,2330,31:46.3,1,5,5,0,0,428,931,428,167,427.5,6,427,32,426.5,9,426,26,429,24,430,28,430.5,3,431,12,431.5,1
2020/10/5,2330,31:51.4,1,5,5,0,0,428,935,428,165,427.5,6,427,32,426.5,11,426,29,429,24,430,28,430.5,3,431,14,431.5,1
